# source, target, rating, time
0,1,4,1289241911.72836
0,2,2,1289241941.53378
0,5,2,1289770700.4293
0,10,5,1290826367.17211
0,82,2,1296291457.0187
0,21,1,1296291723.90977
0,129,3,1299447999.63164
0,213,1,1302322673.83153
0,223,3,1302648708.99925
0,176,4,1304194321.51897
0,155,2,1304826215.39952
0,23,4,1311312167.48754
0,613,1,1311312174.85019
0,884,1,1311396972.06487
0,321,6,1311915459.75177
0,469,1,1312392223.01499
0,237,1,1316572145.76503
0,636,1,1318751882.33823
0,1402,3,1322088614.46589
0,488,5,1323920006.43562
0,1273,2,1324260661.75194
0,1526,1,1324322271.86489
0,1979,1,1342245532.33295
0,2385,1,1345501525.11591
0,1337,-10,1346725456.3781
0,1785,3,1351733352.78501
0,1980,1,1354067737.32014
0,1319,8,1354068531.08765
0,9,3,1354068541.23313
0,3,8,1354068551.86893
0,967,1,1355010314.55153
0,1778,1,1355010982.88599
0,1575,3,1355540573.6376
0,504,1,1356834141.85883
0,1287,-10,1356834517.40403
0,2571,4,1356835679.51083
0,808,8,1363836906.67669
0,2130,9,1363836946.04918
0,2129,5,1363836956.77002
0,1696,5,1363836965.23408
1,11,5,1289370556.80938
1,12,5,1289370622.21473
1,5,5,1289771303.53929
1,35,2,1296769494.33436
1,89,2,1297102509.39137
1,6,8,1297570107.33404
1,100,1,1297647973.79808
1,78,1,1297878331.02521
1,108,1,1298346435.18333
1,122,1,1298520615.60603
1,114,1,1298929715.26896
1,3,8,1299556897.11787
1,10,5,1301898700.00283
1,54,5,1301898705.01812
1,58,8,1301898738.21734
1,52,2,1301898759.93158
1,155,5,1304347196.41986
1,390,1,1305063765.32477
1,340,2,1305064402.40523
1,586,1,1305917102.03542
1,608,1,1305986186.63687
1,461,1,1306038669.98591
1,602,2,1306115047.86156
1,712,1,1306859587.38701
1,697,1,1306862212.02685
1,588,1,1307038479.68031
1,683,1,1307038484.48267
1,7,1,1307038831.52163
1,732,1,1307137061.95554
1,605,3,1307189946.0805
1,159,2,1307592440.91892
1,792,-10,1311132603.09446
1,161,-1,1347122733.43668
1,1319,8,1347122757.62889
1,123,8,1347122785.28266
1,27,8,1347122790.34528
1,178,8,1347122796.10978
1,200,8,1347122805.28953
1,134,3,1347122821.45838
1,15,5,1347122835.5166
1,93,2,1347122875.73985
1,0,5,1347122880.78913
1,3291,5,1359344943.28567
1,36,2,1363241046.90145
1,5803,8,1427727594.65585
2,3,3,1289660298.87048
2,0,3,1289660319.00982
2,10,1,1289660347.43795
3,4,1,1289243140.39049
3,2,4,1289710643.19963
3,21,1,1290666953.43175
3,22,1,1290750434.01249
3,14,9,1290969236.78019
3,20,2,1291052764.71454
3,7,3,1291090930.69481
3,12,2,1291505266.30993
3,35,1,1292196392.21474
3,41,2,1292957195.7147
3,45,1,1293481238.15303
3,47,1,1293579274.01007
3,53,1,1293749573.83432
3,49,2,1294083688.36895
3,57,1,1294982042.23521
3,70,1,1295163873.99206
3,83,1,1296512102.9696
3,1,8,1296629343.62073
3,51,2,1296631215.11468
3,15,6,1296657671.10019
3,96,1,1297373817.09734
3,78,1,1297627293.10108
3,103,1,1297789863.89503
3,82,2,1298061893.74143
3,79,2,1298062294.48387
3,10,9,1298267256.42074
3,121,1,1298487310.22405
3,29,6,1298950354.24875
3,178,7,1301329948.91762
3,180,1,1301354601.2876
3,89,1,1301366233.10452
3,181,1,1301369843.28328
3,60,1,1301600149.38126
3,50,3,1301975394.34679
3,200,1,1302017978.22264
3,202,1,1302043777.83291
3,188,1,1302237679.6853
3,205,2,1302292173.95028
3,215,1,1302449430.17889
3,216,1,1302453499.78746
3,77,1,1302729569.61908
3,227,1,1302800924.19661
3,230,1,1302847189.76303
3,98,1,1302881463.21927
3,252,1,1303161461.95713
3,136,1,1303356386.92155
3,267,1,1303486159.97165
3,268,1,1303486511.39637
3,99,2,1304004287.17006
3,279,1,1304034493.75013
3,300,1,1304098159.58875
3,32,1,1304355927.53321
3,321,1,1304359309.07414
3,338,1,1304368646.03889
3,372,1,1304488104.52372
3,375,1,1304533792.72692
3,102,5,1304552017.94592
3,176,3,1304563247.67285
3,31,3,1304570103.14659
3,276,3,1304579354.06006
3,397,1,1304659251.95106
3,384,1,1304699103.64691
3,429,1,1304845772.82587
3,393,1,1304874495.43497
3,448,1,1305009175.05213
3,356,2,1305062650.14664
3,56,2,1305064090.82342
3,19,4,1305071801.55641
3,456,1,1305072251.24854
3,436,1,1305091692.24666
3,485,5,1305254867.78941
3,488,1,1305267250.16615
3,516,1,1305438446.62691
3,521,1,1305443881.78014
3,522,1,1305447851.53033
3,172,1,1305509119.21055
3,543,1,1305600755.29745
3,39,5,1306083435.79907
3,221,1,1306094215.62615
3,11,6,1306120947.37882
3,583,2,1306124744.08445
3,626,1,1306132108.31696
3,644,1,1306336012.42057
3,622,-5,1306513049.86399
3,725,1,1306939155.23751
3,598,2,1306939892.47569
3,336,4,1307049475.13824
3,297,5,1307051395.32406
3,776,2,1307079554.87448
3,732,1,1307117325.75918
3,498,1,1307327004.7148
3,1086,1,1308060193.27914
3,6,6,1308241841.27267
3,13,7,1308241904.94943
3,414,8,1308241990.87883
3,54,8,1308241997.65013
3,36,8,1308242001.80995
3,27,8,1308242007.21927
3,145,7,1308242022.48058
3,0,8,1308242030.65683
3,9,7,1308242057.618
3,233,5,1308316797.72706
3,490,1,1309065236.6863
3,471,2,1311199990.25228
3,835,1,1311286702.90358
3,813,1,1311538216.95582
3,1325,1,1311653852.83302
3,959,2,1312252188.36668
3,265,2,1312557813.99264
3,1401,1,1315028115.43864
3,1495,3,1320536477.25196
3,1511,1,1320692084.23541
3,1402,5,1320897150.21803
3,94,3,1321212290.68818
3,295,1,1321218985.61475
3,1309,2,1321484568.7277
3,134,7,1323560232.94281
3,542,3,1324013224.21885
3,38,6,1325731951.3758
3,1509,1,1326396349.06866
3,24,3,1326840244.45201
3,1672,1,1326863467.07429
3,1308,3,1327446649.44629
3,1453,2,1327604119.40721
3,167,3,1327641203.80316
3,1693,1,1327700513.14779
3,1643,2,1329181544.95165
3,1197,1,1329521010.36689
3,1234,1,1329682462.92106
3,259,3,1330495191.47031
3,1745,1,1330664416.69846
3,775,3,1331013156.81846
3,491,1,1331067539.89773
3,1662,2,1331525944.36685
3,1272,5,1331930345.43291
3,1809,1,1332460768.01522
3,1003,2,1333326244.24388
3,1755,-10,1333403159.78517
3,1154,8,1333421158.40338
3,1322,3,1333511733.11245
3,1891,2,1333598594.45322
3,1319,6,1333599170.38297
3,1867,1,1335904474.71166
3,1650,5,1336016017.8551
3,1273,5,1336107393.54492
3,1796,6,1336230301.04854
3,1846,1,1336449239.95545
3,1991,4,1336494115.32763
3,2066,3,1338748836.28605
3,2067,1,1338778776.89404
3,1715,-10,1339444338.33174
3,2082,3,1340901838.63896
3,2038,-10,1341116252.7118
3,2260,2,1342637362.14376
3,680,2,1342985886.20223
3,2277,1,1343106885.9529
3,1537,2,1343107074.75659
3,5,10,1343107173.27381
3,127,2,1343357724.64647
3,101,5,1344980398.03671
3,434,1,1345075709.50725
3,2385,1,1345437549.99194
3,589,3,1345650003.38358
3,2369,-10,1345780384.18263
3,2400,-10,1345780392.02226
3,1979,1,1346349635.90192
3,2414,1,1349635337.14283
3,2688,1,1350077134.66683
3,92,2,1354515266.76117
3,1951,2,1355268337.79876
3,1169,1,1361284724.18753
