# index, name, _pos
0,6,"array([6.94615817, 2.064861  ])"
1,2,"array([6.94347018, 2.05641142])"
2,5,"array([6.93511002, 2.05913401])"
3,1,"array([6.94348612, 2.06335339])"
4,15,"array([6.94514849, 2.05876196])"
5,4,"array([6.94266119, 2.05691066])"
6,3,"array([6.94712778, 2.06114716])"
7,13,"array([6.94416363, 2.06629555])"
8,16,"array([6.94356386, 2.04038559])"
9,10,"array([6.93847565, 2.0621767 ])"
10,7,"array([6.93889746, 2.05632194])"
11,21,"array([6.93671715, 2.05831923])"
12,20,"array([6.94311018, 2.05355972])"
13,8,"array([6.92896532, 2.05851348])"
14,17,"array([6.94273667, 2.0630912 ])"
15,23,"array([6.94889598, 2.05155432])"
16,25,"array([6.9478792 , 2.07070835])"
17,26,"array([6.95706332, 2.04509265])"
18,28,"array([6.95104526, 2.05307446])"
19,29,"array([6.9372393 , 2.05607091])"
20,31,"array([6.93171289, 2.05936923])"
21,32,"array([6.95074252, 2.0681159 ])"
22,34,"array([6.93283641, 2.06016371])"
23,35,"array([6.97112999, 2.06756099])"
24,36,"array([6.94740626, 2.04524635])"
25,37,"array([6.9358086 , 2.06004314])"
26,44,"array([6.93604462, 2.04813063])"
27,39,"array([6.94557285, 2.05241633])"
28,45,"array([6.93283699, 2.0526803 ])"
29,19,"array([6.94410695, 2.05496701])"
30,46,"array([6.94653781, 2.02525508])"
31,47,"array([6.93007251, 2.05374826])"
32,51,"array([6.95112065, 2.06964773])"
33,52,"array([6.92002758, 2.04438131])"
34,53,"array([6.92704651, 2.0445879 ])"
35,54,"array([6.93746144, 2.05783747])"
36,41,"array([6.94335559, 2.06237327])"
37,55,"array([6.92223908, 2.04482962])"
38,57,"array([6.95039875, 2.06988177])"
39,61,"array([6.94407442, 2.05397481])"
40,65,"array([6.98700301, 2.0659843 ])"
41,56,"array([6.94729341, 2.05940942])"
42,66,"array([6.93763953, 2.0385688 ])"
43,69,"array([6.95404478, 2.05340577])"
44,70,"array([6.95931584, 2.05906077])"
45,71,"array([6.92360818, 2.06008198])"
46,72,"array([6.94067571, 2.05673972])"
47,74,"array([6.9227456 , 2.06085367])"
48,75,"array([6.93553265, 2.06147408])"
49,68,"array([6.93552423, 2.05161624])"
50,64,"array([6.93895435, 2.05748459])"
51,76,"array([6.93482318, 2.05445616])"
52,77,"array([6.93984942, 2.05612866])"
53,78,"array([6.93891231, 2.05861469])"
54,60,"array([6.93193925, 2.05445685])"
55,79,"array([6.98626416, 2.07227284])"
56,80,"array([6.93908347, 2.05166643])"
57,81,"array([6.94150057, 2.05890127])"
58,62,"array([6.94494528, 2.06314835])"
59,83,"array([6.9302599, 2.0459014])"
60,104,"array([6.94202871, 2.06303903])"
61,86,"array([6.94401857, 2.04535335])"
62,87,"array([6.92922719, 2.04535321])"
63,89,"array([6.9302656 , 2.05125524])"
64,94,"array([6.92310864, 2.04726569])"
65,95,"array([6.96933527, 2.04815227])"
66,96,"array([6.95098579, 2.07351584])"
67,97,"array([6.93210459, 2.03865871])"
68,99,"array([6.96197051, 2.03508947])"
69,88,"array([6.93156913, 2.04635582])"
70,101,"array([6.93135882, 2.05495659])"
71,100,"array([6.94110067, 2.06259945])"
72,103,"array([6.91102452, 2.04069812])"
73,105,"array([6.92475863, 2.0559156 ])"
74,106,"array([6.96903698, 2.07393334])"
75,107,"array([6.93474482, 2.06530501])"
76,108,"array([6.93528938, 2.05261552])"
77,109,"array([6.93719786, 2.04215979])"
78,110,"array([6.94354307, 2.05739869])"
79,111,"array([6.93254488, 2.06105968])"
80,112,"array([6.95004024, 2.05337062])"
81,115,"array([6.95956478, 2.06016251])"
82,114,"array([6.9356094 , 2.06243453])"
83,119,"array([6.93048931, 2.06289904])"
84,122,"array([6.92477536, 2.04924576])"
85,127,"array([6.9214536 , 2.05632819])"
86,129,"array([6.93970836, 2.05818136])"
87,116,"array([6.92422171, 2.04270711])"
88,131,"array([6.91879703, 2.03789283])"
89,132,"array([6.93538597, 2.05626603])"
90,133,"array([6.93095526, 2.07164225])"
91,113,"array([6.9423887 , 2.06138949])"
92,125,"array([6.93613066, 2.05252165])"
93,135,"array([6.94719476, 2.06661008])"
94,134,"array([6.94211812, 2.05252494])"
95,137,"array([6.92982161, 2.0579843 ])"
96,138,"array([6.92756305, 2.0569141 ])"
97,140,"array([6.92541822, 2.05901819])"
98,141,"array([6.93982078, 2.06586358])"
99,139,"array([6.92428272, 2.05499124])"
100,142,"array([6.93333798, 2.05023653])"
101,143,"array([6.94434089, 2.05597359])"
102,144,"array([6.94245919, 2.0510207 ])"
103,145,"array([6.92495229, 2.05801817])"
104,146,"array([6.93529103, 2.07969553])"
105,147,"array([6.92705683, 2.05420987])"
106,148,"array([6.91901492, 2.05545489])"
107,93,"array([6.94582156, 2.06247296])"
108,149,"array([6.94615663, 2.05839854])"
109,150,"array([6.93890724, 2.04720675])"
110,152,"array([6.92823033, 2.04978297])"
111,153,"array([6.93446148, 2.05553455])"
112,154,"array([6.91333012, 2.03897087])"
113,155,"array([6.9301507 , 2.05247589])"
114,156,"array([6.94033053, 2.06260643])"
115,157,"array([6.93163183, 2.04878999])"
116,158,"array([6.92582444, 2.05589726])"
117,160,"array([6.94209011, 2.05990736])"
118,161,"array([6.93569893, 2.0435517 ])"
119,162,"array([6.92795155, 2.05473473])"
120,163,"array([6.93773758, 2.05430473])"
121,165,"array([6.92831907, 2.05160313])"
122,166,"array([6.93335886, 2.05790963])"
123,167,"array([6.93982495, 2.05459725])"
124,168,"array([6.92420299, 2.0609517 ])"
125,169,"array([6.92987087, 2.07164126])"
126,170,"array([6.91854762, 2.0363341 ])"
127,171,"array([6.94390402, 2.06457613])"
128,172,"array([6.91438394, 2.0470131 ])"
129,173,"array([6.94451159, 2.04914092])"
130,174,"array([6.94818964, 2.05403705])"
131,175,"array([6.92171762, 2.04381002])"
132,176,"array([6.92278453, 2.04845578])"
133,177,"array([6.94370876, 2.05287816])"
134,178,"array([6.94666442, 2.0571689 ])"
135,179,"array([6.93248253, 2.05766999])"
136,180,"array([6.9306171, 2.0745956])"
137,181,"array([6.94056704, 2.05291369])"
138,159,"array([6.92925567, 2.05307515])"
139,182,"array([6.90264356, 2.05121356])"
140,183,"array([6.9399263 , 2.04372397])"
141,184,"array([6.9471338 , 2.06043775])"
142,185,"array([6.92212314, 2.052654  ])"
143,186,"array([6.94582811, 2.05514585])"
144,187,"array([6.92837693, 2.06568431])"
145,33,"array([6.95156803, 2.07318234])"
146,188,"array([6.93501475, 2.07162305])"
147,189,"array([6.93094929, 2.0541841 ])"
148,190,"array([6.92183469, 2.05757198])"
149,191,"array([6.92351428, 2.05612383])"
150,192,"array([6.95386581, 2.06642754])"
151,193,"array([6.92396943, 2.04831631])"
152,194,"array([6.92872659, 2.04762545])"
153,195,"array([6.9201472 , 2.04911296])"
154,196,"array([6.92921264, 2.05090038])"
155,198,"array([6.93853448, 2.05251313])"
156,199,"array([6.930807  , 2.06013702])"
157,200,"array([6.93627744, 2.05621171])"
158,201,"array([6.92289421, 2.049535  ])"
159,202,"array([6.93597538, 2.06076802])"
160,203,"array([6.93638577, 2.04713196])"
161,204,"array([6.93941875, 2.06403298])"
162,205,"array([6.91023175, 2.04246656])"
163,206,"array([6.92901076, 2.05528332])"
164,207,"array([6.94460409, 2.05344533])"
165,209,"array([6.94752264, 2.05154818])"
166,210,"array([6.92242413, 2.04280096])"
167,120,"array([6.92935195, 2.06144701])"
168,211,"array([6.92401291, 2.04999778])"
169,212,"array([6.93552362, 2.05010461])"
170,213,"array([6.91645267, 2.04376886])"
171,214,"array([6.93550024, 2.05379789])"
172,215,"array([6.94336794, 2.06973297])"
173,216,"array([6.93941036, 2.0651634 ])"
174,217,"array([6.93301433, 2.0516072 ])"
175,218,"array([6.91562839, 2.04821202])"
176,219,"array([6.93701662, 2.05453397])"
177,220,"array([6.90356149, 2.0349118 ])"
178,223,"array([6.94979842, 2.05958109])"
179,224,"array([6.93679585, 2.06489087])"
180,225,"array([6.9350644 , 2.06037776])"
181,227,"array([6.93827315, 2.05094862])"
182,228,"array([6.93495065, 2.05727204])"
183,230,"array([6.94147652, 2.07213258])"
184,231,"array([6.9385306 , 2.04038278])"
185,232,"array([6.92312765, 2.04367593])"
186,233,"array([6.9263552 , 2.04720694])"
187,208,"array([6.92818756, 2.05360759])"
188,234,"array([6.9253705 , 2.05463115])"
189,235,"array([6.9337085 , 2.05113313])"
190,222,"array([6.93997232, 2.04813795])"
191,236,"array([6.92796425, 2.04559177])"
192,237,"array([6.91755808, 2.05198913])"
193,238,"array([6.94471226, 2.06235021])"
